28/05/2014 8.57.07,Outcome,26/05/2014,50,Car Fuel,
31/05/2014 14.31.15,Outcome,30/05/2014,"38.4",Food & Drink,
31/05/2014 14.31.36,Outcome,31/05/2014,8,Groceries,
01/06/2014 1.11.31,Outcome,01/06/2014,"4.5",Food & Drink,
03/06/2014 15.23.06,Outcome,01/06/2014,20,Car Fuel,
03/06/2014 22.01.36,Outcome,03/06/2014,16,Food & Drink,
10/06/2014 18.18.48,Outcome,10/06/2014,40,Health,
13/06/2014 8.46.07,Outcome,12/06/2014,10,Personal,Barbiere
13/06/2014 8.46.41,Outcome,13/06/2014,"3.2",Entertainment,Fumetto
13/06/2014 9.03.03,Outcome,13/06/2014,25,Gifts,Regalo Domenico
15/06/2014 9.14.44,Income,12/06/2014,"1716.98",Salary,
21/06/2014 18.17.48,Outcome,21/06/2014,22,Clothing,
21/06/2014 22.45.02,Outcome,21/06/2014,20,Food & Drink,
28/06/2014 21.16.40,Outcome,28/06/2014,160,Tech,HD esterno
29/06/2014 8.45.38,Outcome,28/06/2014,48,Food & Drink,
03/07/2014 20.01.15,Outcome,03/07/2014,"8.5",Gifts,
05/07/2014 12.49.40,Outcome,05/07/2014,"4.7",Personal,Lenti a contatto
05/07/2014 12.49.57,Outcome,05/07/2014,15,Personal,Libro
05/07/2014 21.02.52,Outcome,05/07/2014,"13.5",Food & Drink,Pizza
08/07/2014 6.55.12,Outcome,06/07/2014,20,Car Fuel,
08/07/2014 6.55.43,Outcome,06/07/2014,"7.5",Food & Drink,
08/07/2014 6.56.00,Outcome,07/07/2014,7,Car,
09/07/2014 18.22.03,Outcome,09/07/2014,"7.5",Health,Cerotti
10/07/2014 12.06.00,Income,10/07/2014,"1481.08",Salary,
11/07/2014 22.47.02,Outcome,11/07/2014,"6.2",Personal,Cartoleria
13/07/2014 19.48.44,Outcome,13/07/2014,"14.5",Travel,
20/07/2014 11.26.15,Outcome,20/07/2014,"46.5",Clothing,
25/07/2014 18.30.43,Outcome,25/07/2014,21,Tech,
26/07/2014 13.27.20,Outcome,26/07/2014,16,Shopping,
26/07/2014 13.27.41,Outcome,26/07/2014,10,Personal,Barbiere
27/07/2014 11.03.50,Outcome,27/07/2014,"13.32"",Entertainment,Joel on software
27/07/2014 13.03.03,Outcome,27/07/2014,14,Entertainment,Programming interview exposed.secrets to landing your next job
10/08/2014 15.17.52,Outcome,09/08/2014,"5.4",Gifts,
10/08/2014 15.18.16,Outcome,09/08/2014,20,Car Fuel,
11/08/2014 23.08.43,Outcome,11/08/2014,20,Car Fuel,
11/08/2014 23.09.03,Outcome,11/08/2014,25,Food & Drink,
12/08/2014 9.44.07,Income,08/08/2014,"1565.72"",Salary,
12/08/2014 9.44.40,Income,08/08/2014,490,Salary,Rimborso spese
14/08/2014 8.54.28,Outcome,13/08/2014,15,Food & Drink,
14/08/2014 15.24.55,Outcome,14/08/2014,"16.4",Food & Drink,
14/08/2014 16.32.14,Outcome,14/08/2014,50,Car Fuel,
14/08/2014 22.50.18,Outcome,14/08/2014,14,Food & Drink,
16/08/2014 16.54.07,Income,24/07/2014,950,Salary,
16/08/2014 16.54.31,Income,24/07/2014,"529.69"",Salary,
16/08/2014 20.26.03,Outcome,16/08/2014,30,Clothing,
17/08/2014 1.12.30,Outcome,16/08/2014,18,Food & Drink,
17/08/2014 1.12.47,Outcome,16/08/2014,7,Entertainment,
18/08/2014 18.14.33,Outcome,17/08/2014,11,Food & Drink,
18/08/2014 18.15.05,Outcome,18/08/2014,5,Groceries,
18/08/2014 18.18.49,Outcome,18/08/2014,5,Groceries,
21/08/2014 22.40.33,Outcome,21/08/2014,30,Car Fuel,
21/08/2014 22.41.05,Outcome,21/08/2014,18,Food & Drink,
03/09/2014 23.33.09,Outcome,01/09/2014,50,Car Fuel,
03/09/2014 23.33.42,Outcome,02/09/2014,35,Food & Drink,
05/09/2014 9.37.12,Outcome,04/09/2014,17,Food & Drink,
06/09/2014 19.30.49,Outcome,06/09/2014,90,Food & Drink,Compleanno
13/09/2014 9.54.32,Outcome,13/09/2014,"115.39"",Car,Bollo auto
13/09/2014 15.45.13,Income,10/09/2014,"1517.16"",Salary,
20/09/2014 11.54.01,Outcome,20/09/2014,3,Food & Drink,
20/09/2014 11.54.27,Outcome,20/09/2014,14,Gifts,
20/09/2014 23.46.25,Outcome,20/09/2014,10,Food & Drink,
21/09/2014 11.59.18,Outcome,21/09/2014,12,Personal,Book
23/09/2014 19.39.52,Outcome,23/09/2014,30,Personal,Cell
27/09/2014 10.56.28,Outcome,27/09/2014,"5.58",Personal,Book
27/09/2014 12.49.09,Outcome,20/09/2014,20,Car Fuel,
27/09/2014 18.15.16,Outcome,27/09/2014,14,Gifts,
28/09/2014 12.40.09,Outcome,28/09/2014,20,Car Fuel,
28/09/2014 20.48.07,Outcome,28/09/2014,18,Food & Drink,
